transaction_id;date;from_account;to_account;amount_nok;jurisdiction;note;risk_flag
TX-0000001;2023-02-02;NO100001;LV900001;739680;NO;ordinær overføring;
TX-0000002;2023-03-03;NO100002;LV900002;801508;LV;ordinær overføring;
TX-0000003;2023-04-04;NO100003;LV900003;739469;AE;ordinær overføring;
TX-0000004;2023-05-05;NO100004;LV900004;279187;CY;ordinær overføring;
TX-0000005;2023-06-06;NO100005;LV900005;111220;LV;ordinær overføring;
TX-0000006;2023-07-07;NO100006;LV900006;509978;NO;ordinær overføring;
TX-0000007;2023-08-08;NO100007;LV900007;615496;NO;ordinær overføring;
TX-0000008;2023-09-09;NO100008;LV900008;995223;MT;ordinær overføring;
TX-0000009;2023-10-10;NO100009;LV900009;506892;MT;ordinær overføring;
TX-0000010;2023-11-11;NO100010;LV900010;223155;NO;ordinær overføring;
TX-0000011;2023-12-12;NO100011;LV900011;884458;CY;ordinær overføring;
TX-0000012;2023-01-13;NO100012;LV900012;486678;NO;ordinær overføring;
TX-0000013;2023-02-14;NO100013;LV900013;295900;AE;ordinær overføring;
TX-0000014;2023-03-15;NO100014;LV900014;987912;AE;ordinær overføring;
TX-0000015;2023-04-16;NO100015;LV900015;574468;LV;ordinær overføring;
TX-0000016;2023-05-17;NO100016;LV900016;741700;CY;ordinær overføring;
TX-0000017;2023-06-18;NO100017;LV900017;657913;MT;ordinær overføring;
TX-0000018;2023-07-19;NO100018;LV900018;736931;MT;ordinær overføring;
TX-0000019;2023-08-20;NO100019;LV900019;49875;NO;ordinær overføring;
TX-0000020;2023-09-21;NO100020;LV900020;608811;MT;ordinær overføring;
TX-0000021;2023-10-22;NO100021;LV900021;344246;LV;ordinær overføring;
TX-0000022;2023-11-23;NO100022;LV900022;944589;CY;ordinær overføring;
TX-0000023;2023-12-24;NO100023;LV900023;534237;EE;ordinær overføring;
TX-0000024;2023-01-25;NO100024;LV900024;179657;AE;ordinær overføring;
TX-0000025;2023-02-26;NO100025;LV900025;307857;LV;ordinær overføring;
TX-0000026;2023-03-27;NO100026;LV900026;256456;EE;ordinær overføring;
TX-0000027;2023-04-28;NO100027;LV900027;228009;EE;ordinær overføring;
TX-0000028;2023-05-01;NO100028;LV900028;98464;CY;ordinær overføring;
TX-0000029;2023-06-02;NO100029;LV900029;77863;MT;ordinær overføring;
TX-0000030;2023-07-03;NO100030;LV900030;47647;AE;ordinær overføring;
TX-0000031;2023-08-04;NO100031;LV900031;545356;MT;ordinær overføring;
TX-0000032;2023-09-05;NO100032;LV900032;607755;AE;ordinær overføring;
TX-0000033;2023-10-06;NO100033;LV900033;658127;CY;ordinær overføring;
TX-0000034;2023-11-07;NO100034;LV900034;92963;MT;ordinær overføring;
TX-0000035;2023-12-08;NO100035;LV900035;464844;NO;ordinær overføring;
TX-0000036;2023-01-09;NO100036;LV900036;841499;CY;ordinær overføring;
TX-0000037;2023-02-10;NO100037;LV900037;465890;AE;ordinær overføring;
TX-0000038;2023-03-11;NO100038;LV900038;49900;CY;ordinær overføring;
TX-0000039;2023-04-12;NO100039;LV900039;767997;NO;ordinær overføring;
TX-0000040;2023-05-13;NO100040;LV900040;126129;MT;ordinær overføring;
TX-0000041;2023-06-14;NO100041;LV900041;455915;AE;ordinær overføring;
TX-0000042;2023-07-15;NO100042;LV900042;132679;NO;ordinær overføring;
TX-0000043;2023-08-16;NO100043;LV900043;222504;NO;ordinær overføring;
TX-0000044;2023-09-17;NO100044;LV900044;200684;AE;ordinær overføring;
TX-0000045;2023-10-18;NO100045;LV900045;496412;EE;ordinær overføring;
TX-0000046;2023-11-19;NO100046;LV900046;164210;AE;ordinær overføring;
TX-0000047;2023-12-20;NO100047;LV900047;736829;LV;ordinær overføring;
TX-0000048;2023-01-21;NO100048;LV900048;312771;CY;ordinær overføring;
TX-0000049;2023-02-22;NO100049;LV900049;400160;MT;ordinær overføring;
TX-0000050;2023-03-23;NO100050;LV900050;165271;NO;ordinær overføring;
TX-0000051;2023-04-24;NO100051;LV900051;467695;CY;ordinær overføring;
TX-0000052;2023-05-25;NO100052;LV900052;884544;EE;ordinær overføring;
TX-0000053;2023-06-26;NO100053;LV900053;380605;MT;ordinær overføring;
TX-0000054;2023-07-27;NO100054;LV900054;365940;LV;ordinær overføring;
TX-0000055;2023-08-28;NO100055;LV900055;199270;NO;ordinær overføring;
TX-0000056;2023-09-01;NO100056;LV900056;126935;AE;ordinær overføring;
TX-0000057;2023-10-02;NO100057;LV900057;49875;MT;splittet overføring - mulig strukturering;STRUCTURING
TX-0000058;2023-11-03;NO100058;LV900058;304712;EE;ordinær overføring;
TX-0000059;2023-12-04;NO100059;LV900059;906613;NO;ordinær overføring;
TX-0000060;2023-01-05;NO100060;LV900060;473970;LV;ordinær overføring;
TX-0000061;2023-02-06;NO100061;LV900061;847461;LV;ordinær overføring;
TX-0000062;2023-03-07;NO100062;LV900062;365589;EE;ordinær overføring;
TX-0000063;2023-04-08;NO100063;LV900063;998754;LV;ordinær overføring;
TX-0000064;2023-05-09;NO100064;LV900064;386027;NO;ordinær overføring;
TX-0000065;2023-06-10;NO100065;LV900065;647904;MT;ordinær overføring;
TX-0000066;2023-07-11;NO100066;LV900066;846461;NO;ordinær overføring;
TX-0000067;2023-08-12;NO100067;LV900067;822246;AE;ordinær overføring;
TX-0000068;2023-09-13;NO100068;LV900068;260411;MT;ordinær overføring;
TX-0000069;2023-10-14;NO100069;LV900069;199959;LV;ordinær overføring;
TX-0000070;2023-11-15;NO100070;LV900070;123310;NO;ordinær overføring;
TX-0000071;2023-12-16;NO100071;LV900071;750917;AE;ordinær overføring;
TX-0000072;2023-01-17;NO100072;LV900072;695025;CY;ordinær overføring;
TX-0000073;2023-02-18;NO100073;LV900073;748379;NO;ordinær overføring;
TX-0000074;2023-03-19;NO100074;LV900074;945294;CY;ordinær overføring;
TX-0000075;2023-04-20;NO100075;LV900075;664907;AE;ordinær overføring;
TX-0000076;2023-05-21;NO100076;LV900076;49900;MT;ordinær overføring;
TX-0000077;2023-06-22;NO100077;LV900077;914790;LV;ordinær overføring;
TX-0000078;2023-07-23;NO100078;LV900078;941407;LV;ordinær overføring;
TX-0000079;2023-08-24;NO100079;LV900079;735523;EE;ordinær overføring;
TX-0000080;2023-09-25;NO100080;LV900080;515432;EE;ordinær overføring;
TX-0000081;2023-10-26;NO100081;LV900081;771723;NO;ordinær overføring;
TX-0000082;2023-11-27;NO100082;LV900082;181172;NO;ordinær overføring;
TX-0000083;2023-12-28;NO100083;LV900083;440075;NO;ordinær overføring;
TX-0000084;2023-01-01;NO100084;LV900084;109611;EE;ordinær overføring;
TX-0000085;2023-02-02;NO100085;LV900085;830886;LV;ordinær overføring;
TX-0000086;2023-03-03;NO100086;LV900086;554282;LV;ordinær overføring;
TX-0000087;2023-04-04;NO100087;LV900087;243639;NO;ordinær overføring;
TX-0000088;2023-05-05;NO100088;LV900088;984519;LV;ordinær overføring;
TX-0000089;2023-06-06;NO100089;LV900089;52061;CY;ordinær overføring;
TX-0000090;2023-07-07;NO100090;LV900090;456893;AE;ordinær overføring;
TX-0000091;2023-08-08;NO100091;LV900091;673276;EE;ordinær overføring;
TX-0000092;2023-09-09;NO100092;LV900092;941549;NO;ordinær overføring;
TX-0000093;2023-10-10;NO100093;LV900093;305628;AE;ordinær overføring;
TX-0000094;2023-11-11;NO100094;LV900094;516095;NO;ordinær overføring;
TX-0000095;2023-12-12;NO100095;LV900095;49900;EE;ordinær overføring;
TX-0000096;2023-01-13;NO100096;LV900096;188857;NO;ordinær overføring;
TX-0000097;2023-02-14;NO100097;LV900097;614794;MT;ordinær overføring;
TX-0000098;2023-03-15;NO100098;LV900098;749409;AE;ordinær overføring;
TX-0000099;2023-04-16;NO100099;LV900099;286872;LV;ordinær overføring;
TX-0000100;2023-05-17;NO100100;LV900100;781083;EE;ordinær overføring;
TX-0000101;2023-06-18;NO100101;LV900101;952270;NO;ordinær overføring;
TX-0000102;2023-07-19;NO100102;LV900102;632244;MT;ordinær overføring;
TX-0000103;2023-08-20;NO100103;LV900103;957486;CY;ordinær overføring;
TX-0000104;2023-09-21;NO100104;LV900104;127042;MT;ordinær overføring;
TX-0000105;2023-10-22;NO100105;LV900105;468436;EE;ordinær overføring;
TX-0000106;2023-11-23;NO100106;LV900106;909979;EE;ordinær overføring;
TX-0000107;2023-12-24;NO100107;LV900107;761441;MT;ordinær overføring;
TX-0000108;2023-01-25;NO100108;LV900108;880955;MT;ordinær overføring;
TX-0000109;2023-02-26;NO100109;LV900109;153647;MT;ordinær overføring;
TX-0000110;2023-03-27;NO100110;LV900110;543617;AE;ordinær overføring;
TX-0000111;2023-04-28;NO100111;LV900111;307900;EE;ordinær overføring;
TX-0000112;2023-05-01;NO100112;LV900112;469715;LV;ordinær overføring;
TX-0000113;2023-06-02;NO100113;LV900113;273932;CY;mellomledd til kontantuttak;LAYERING
TX-0000114;2023-07-03;NO100114;LV900114;49950;NO;splittet overføring - mulig strukturering;STRUCTURING
TX-0000115;2023-08-04;NO100115;LV900115;398887;EE;ordinær overføring;
TX-0000116;2023-09-05;NO100116;LV900116;148692;EE;ordinær overføring;
TX-0000117;2023-10-06;NO100117;LV900117;902444;LV;ordinær overføring;
TX-0000118;2023-11-07;NO100118;LV900118;983084;AE;ordinær overføring;
TX-0000119;2023-12-08;NO100119;LV900119;770589;NO;ordinær overføring;
TX-0000120;2023-01-09;NO100120;LV900120;486451;CY;ordinær overføring;
TX-0000121;2023-02-10;NO100121;LV900121;834284;EE;ordinær overføring;
TX-0000122;2023-03-11;NO100122;LV900122;684448;NO;ordinær overføring;
TX-0000123;2023-04-12;NO100123;LV900123;284344;AE;ordinær overføring;
TX-0000124;2023-05-13;NO100124;LV900124;594800;AE;ordinær overføring;
TX-0000125;2023-06-14;NO100125;LV900125;249155;MT;ordinær overføring;
TX-0000126;2023-07-15;NO100126;LV900126;572169;MT;ordinær overføring;
TX-0000127;2023-08-16;NO100127;LV900127;704211;LV;ordinær overføring;
TX-0000128;2023-09-17;NO100128;LV900128;596173;MT;ordinær overføring;
TX-0000129;2023-10-18;NO100129;LV900129;418697;NO;ordinær overføring;
TX-0000130;2023-11-19;NO100130;LV900130;726483;AE;ordinær overføring;
TX-0000131;2023-12-20;NO100131;LV900131;562850;AE;ordinær overføring;
TX-0000132;2023-01-21;NO100132;LV900132;657811;LV;ordinær overføring;
TX-0000133;2023-02-22;NO100133;LV900133;49875;NO;ordinær overføring;
TX-0000134;2023-03-23;NO100134;LV900134;857419;AE;ordinær overføring;
TX-0000135;2023-04-24;NO100135;LV900135;221550;MT;ordinær overføring;
TX-0000136;2023-05-25;NO100136;LV900136;353672;MT;ordinær overføring;
TX-0000137;2023-06-26;NO100137;LV900137;305194;LV;ordinær overføring;
TX-0000138;2023-07-27;NO100138;LV900138;661010;AE;ordinær overføring;
TX-0000139;2023-08-28;NO100139;LV900139;649542;EE;ordinær overføring;
TX-0000140;2023-09-01;NO100140;LV900140;631609;AE;ordinær overføring;
TX-0000141;2023-10-02;NO100141;LV900141;661476;EE;ordinær overføring;
TX-0000142;2023-11-03;NO100142;LV900142;414160;MT;ordinær overføring;
TX-0000143;2023-12-04;NO100143;LV900143;951183;NO;ordinær overføring;
TX-0000144;2023-01-05;NO100144;LV900144;343672;AE;ordinær overføring;
TX-0000145;2023-02-06;NO100145;LV900145;606561;CY;ordinær overføring;
TX-0000146;2023-03-07;NO100146;LV900146;91073;EE;ordinær overføring;
TX-0000147;2023-04-08;NO100147;LV900147;164582;NO;ordinær overføring;
TX-0000148;2023-05-09;NO100148;LV900148;398866;MT;ordinær overføring;
TX-0000149;2023-06-10;NO100149;LV900149;60390;NO;ordinær overføring;
TX-0000150;2023-07-11;NO100150;LV900150;172492;NO;ordinær overføring;
TX-0000151;2023-08-12;NO100151;LV900151;807763;LV;ordinær overføring;
TX-0000152;2023-09-13;NO100152;LV900152;49950;LV;ordinær overføring;
TX-0000153;2023-10-14;NO100153;LV900153;520589;AE;ordinær overføring;
TX-0000154;2023-11-15;NO100154;LV900154;135874;AE;ordinær overføring;
TX-0000155;2023-12-16;NO100155;LV900155;78432;MT;ordinær overføring;
TX-0000156;2023-01-17;NO100156;LV900156;801771;EE;ordinær overføring;
TX-0000157;2023-02-18;NO100157;LV900157;845033;AE;ordinær overføring;
TX-0000158;2023-03-19;NO100158;LV900158;776623;AE;ordinær overføring;
TX-0000159;2023-04-20;NO100159;LV900159;187400;MT;ordinær overføring;
TX-0000160;2023-05-21;NO100160;LV900160;71947;CY;ordinær overføring;
TX-0000161;2023-06-22;NO100161;LV900161;964434;LV;ordinær overføring;
TX-0000162;2023-07-23;NO100162;LV900162;691251;NO;ordinær overføring;
TX-0000163;2023-08-24;NO100163;LV900163;281867;AE;ordinær overføring;
TX-0000164;2023-09-25;NO100164;LV900164;113939;CY;ordinær overføring;
